filename,sharpness_score,threshold_used
348.jpg,-9.1848110851821,-8.172650830544864
215.jpg,-11.155548332410383,-8.172650830544864
60.jpg,-14.256413538284619,-8.172650830544864
161.jpg,-12.295451719641965,-8.172650830544864
207.jpg,-11.6927907756267,-8.172650830544864
401.jpg,-9.664545708217162,-8.172650830544864
403.jpg,-15.08916909569671,-8.172650830544864
166.jpg,-14.769963839043118,-8.172650830544864
28.jpg,-12.797209687005402,-8.172650830544864
101.jpg,-24.047526440765534,-8.172650830544864
115.jpg,-10.379850376370255,-8.172650830544864
277.jpg,-12.626657360394509,-8.172650830544864
275.jpg,-9.687765300044074,-8.172650830544864
473.jpg,-9.488921049976616,-8.172650830544864
528.jpg,-14.322388870301218,-8.172650830544864
518.jpg,-15.332399406458093,-8.172650830544864
135.jpg,-11.600545201955827,-8.172650830544864
22.jpg,-13.79308511260164,-8.172650830544864
318.jpg,-8.373213243055957,-8.172650830544864
325.jpg,-12.130064725456775,-8.172650830544864
194.jpg,-8.917771002447047,-8.172650830544864
234.jpg,-8.590934405187278,-8.172650830544864
140.jpg,-11.329870149607238,-8.172650830544864
223.jpg,-12.916053641311315,-8.172650830544864
343.jpg,-12.071488968216327,-8.172650830544864
86.jpg,-13.819369297288153,-8.172650830544864
225.jpg,-12.486938284675867,-8.172650830544864
345.jpg,-11.792741479795053,-8.172650830544864
