filename,sharpness_score,threshold_used
412.jpg,-5.900329624820644,-3.528947906116128
758.jpg,-4.501836579816865,-3.528947906116128
215.jpg,-4.355778969622751,-3.528947906116128
808.jpg,-7.507668593830154,-3.528947906116128
415.jpg,-3.631279921759053,-3.528947906116128
66.jpg,-4.428267245211188,-3.528947906116128
167.jpg,-3.6709722633960427,-3.528947906116128
749.jpg,-5.126608951907227,-3.528947906116128
589.jpg,-7.067602803494778,-3.528947906116128
263.jpg,-7.079905833093184,-3.528947906116128
262.jpg,-10.804075357870088,-3.528947906116128
117.jpg,-8.960308603109757,-3.528947906116128
671.jpg,-4.858547223116756,-3.528947906116128
305.jpg,-3.872968360433678,-3.528947906116128
460.jpg,-5.942945880872932,-3.528947906116128
515.jpg,-6.700426161884514,-3.528947906116128
461.jpg,-3.796230036306557,-3.528947906116128
21.jpg,-3.747364942513715,-3.528947906116128
478.jpg,-6.720005212938452,-3.528947906116128
336.jpg,-9.506829921529734,-3.528947906116128
732.jpg,-4.9976797378157745,-3.528947906116128
727.jpg,-5.773311422665625,-3.528947906116128
22.jpg,-4.469191223445099,-3.528947906116128
484.jpg,-3.5333811441974534,-3.528947906116128
719.jpg,-5.869524183459441,-3.528947906116128
37.jpg,-9.453204440979755,-3.528947906116128
27.jpg,-9.34590834844814,-3.528947906116128
456.jpg,-5.0182019331076875,-3.528947906116128
522.jpg,-5.233248694775181,-3.528947906116128
131.jpg,-3.8707921720531284,-3.528947906116128
119.jpg,-6.6974868110784875,-3.528947906116128
496.jpg,-8.64497423865216,-3.528947906116128
333.jpg,-5.121601183286153,-3.528947906116128
285.jpg,-6.24041965191705,-3.528947906116128
695.jpg,-4.919800220824501,-3.528947906116128
221.jpg,-7.846432097891407,-3.528947906116128
183.jpg,-8.141418254828627,-3.528947906116128
430.jpg,-4.372555993690027,-3.528947906116128
182.jpg,-11.99099039477709,-3.528947906116128
780.jpg,-6.487298586219641,-3.528947906116128
391.jpg,-3.9205048880785958,-3.528947906116128
150.jpg,-4.020147806510519,-3.528947906116128
813.jpg,-7.9552514345124905,-3.528947906116128
